osm_building,roof_features,roof_to_osm_area_ratio,match_fraction_min,roof_z_m,roof_z_p75_m,roof_z_max_m,roof_z_spread_max_m,dtm_ground_max_vertex_m,dtm_ground_roof_centroid_m,derived_height_m,derived_height_p75_roof_z_m,derived_height_max_roof_z_m,derived_height_centroid_ground_m,osm_reference_height_m,osm_reference_method,difference_from_osm_m,building_type,building_levels,osm_height_tag,name,footprint_area_m2
way/562068919,1,0.903,1.0,109.368,109.466,109.564,0.782,102.241,101.065,7.128,7.225,7.323,8.304,,,,yes,,,,577.2
way/562068920,1,0.281,1.0,107.802,107.802,107.851,0.636,100.469,100.176,7.333,7.333,7.382,7.626,10.5,levels,-3.167,yes,3,,,276.0
way/562068922,2,0.808,0.923,104.201,104.786,105.573,1.859,101.145,100.92,3.056,3.641,4.428,3.281,,,,yes,,,,507.1
way/562068923,2,1.019,0.882,103.761,103.957,104.841,1.375,100.722,100.292,3.039,3.236,4.12,3.469,,,,yes,,,,553.1
way/562068924,1,1.244,0.727,120.551,120.665,120.959,0.686,103.793,103.648,16.758,16.872,17.166,16.904,,,,yes,,,,170.3
way/562068925,1,1.089,0.846,102.269,103.888,108.917,8.652,98.813,97.892,3.456,5.075,10.105,4.377,,,,yes,,,,215.3
way/562068926,1,1.067,0.846,102.504,103.089,103.712,3.389,99.273,98.736,3.23,3.816,4.439,3.768,,,,yes,,,,225.8
way/583997805,1,0.76,1.0,100.031,100.08,100.08,0.319,92.107,91.776,7.925,7.973,7.973,8.255,,,,house,,,,162.8
way/591417213,1,1.072,1.0,88.893,89.222,89.466,1.066,83.033,82.615,5.86,6.189,6.433,6.278,,,,yes,,,,384.7
way/591417214,1,1.026,1.0,90.156,90.715,91.126,1.555,82.066,81.876,8.09,8.649,9.061,8.28,,,,yes,,,,252.0
way/591417215,1,1.072,1.0,86.456,86.715,86.827,1.482,81.427,81.113,5.03,5.288,5.401,5.344,,,,commercial,,,,374.5
way/591417216,1,0.954,1.0,86.275,86.823,86.823,0.927,82.034,81.395,4.241,4.788,4.788,4.88,,,,yes,,,,194.6
way/591417217,1,1.921,0.833,88.155,88.196,88.378,0.475,82.624,82.028,5.531,5.572,5.754,6.126,,,,yes,,,,116.8
way/591417219,1,1.105,0.765,84.424,84.892,85.616,2.034,80.596,80.274,3.828,4.296,5.02,4.151,,,,yes,,,,235.4
way/591417223,1,1.051,0.857,87.894,87.987,89.682,4.473,82.99,82.119,4.904,4.997,6.692,5.775,,,,yes,,,,897.7
way/600764104,1,0.934,1.0,110.876,110.876,110.876,0.0,107.045,106.923,3.831,3.831,3.831,3.953,,,,yes,,,,106.8
way/600764105,2,1.037,1.0,111.268,111.587,111.758,0.49,107.255,107.028,4.013,4.332,4.503,4.241,,,,yes,,,,126.7
way/616784214,1,0.893,0.733,85.094,85.19,85.636,2.19,79.615,79.196,5.479,5.575,6.02,5.899,,,,yes,,,,467.1
way/616784215,1,0.686,0.857,84.887,85.168,86.083,1.672,79.386,78.887,5.501,5.782,6.697,6.0,,,,yes,,,,303.2
way/618498763,1,0.211,1.0,78.187,78.396,78.396,0.215,74.239,74.166,3.948,4.157,4.157,4.021,4.5,levels,-0.552,roof,1,,,244.2
way/618510582,7,0.453,1.0,81.729,81.88,82.047,0.588,78.849,78.58,2.88,3.032,3.198,3.149,4.5,levels,-1.62,roof,1,,,2100.7
way/630154043,1,0.996,1.0,82.629,83.395,86.626,11.811,68.616,67.455,14.013,14.779,18.01,15.174,10.5,levels,3.513,commercial,3,,,833.7
way/630163392,1,1.028,1.0,80.993,81.336,81.532,0.686,73.819,73.661,7.174,7.517,7.714,7.332,,,,commercial,,,,125.7
way/650756046,1,0.564,1.0,107.768,107.99,108.059,0.291,101.59,101.361,6.178,6.4,6.469,6.406,,,,yes,,,Iskcon,263.4
way/656486856,1,1.094,0.727,79.723,80.607,80.736,1.587,75.274,74.552,4.448,5.333,5.461,5.171,,,,yes,,,,210.5
way/656710978,1,0.206,1.0,84.869,85.549,85.549,0.813,82.917,82.34,1.952,2.631,2.631,2.529,,,,shed,,,,305.2
way/657259416,1,0.451,1.0,98.023,98.073,98.217,1.164,90.947,90.521,7.076,7.126,7.271,7.502,,,,yes,,,,201.3
way/662292281,1,0.792,1.0,98.556,98.773,98.82,0.434,95.745,94.916,2.811,3.028,3.075,3.64,,,,yes,,,,162.4
way/662293650,1,1.26,0.727,102.426,102.635,103.304,3.762,96.644,96.385,5.782,5.99,6.66,6.041,,,,yes,,,,239.2
way/662293651,1,0.85,1.0,95.656,95.68,95.686,0.253,91.987,91.608,3.669,3.692,3.699,4.048,,,,yes,,,,239.1
way/662296340,1,0.902,1.0,92.025,92.467,92.625,1.656,88.061,87.626,3.964,4.406,4.564,4.399,,,,yes,,,,521.6
way/662299112,1,1.145,0.778,98.963,100.74,100.986,2.532,96.057,95.677,2.907,4.684,4.929,3.286,,,,yes,,,,254.3
way/662299113,1,1.172,0.75,102.013,102.221,102.257,1.744,98.103,97.973,3.909,4.118,4.154,4.039,,,,yes,,,,278.8
way/662299114,1,0.968,1.0,101.867,101.867,101.922,0.282,97.884,97.63,3.982,3.983,4.037,4.237,,,,yes,,,,138.7
